Respondent,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,WebFrameWorkedWith,MiscTechWorkedWith
702,C;C++;HTML/CSS;JavaScript;PHP;Python;SQL,MongoDB;MySQL;PostgreSQL;Redis,Docker;Linux;MacOS,Django;Express,Node.js
727,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;Python;SQL,Firebase;MySQL;SQLite,Android;AWS;Raspberry Pi,Angular/Angular.js;Flask;jQuery,Apache Spark;Cordova;Node.js;Pandas
730,C;HTML/CSS;JavaScript;PHP;SQL,MySQL,,,
731,C;C++;HTML/CSS;JavaScript;PHP;SQL,MySQL,Linux;Windows;WordPress,jQuery;Laravel,
775,Java,Oracle;Redis,Windows,,
784,HTML/CSS,,Windows;WordPress;Other(s):,,
824,Python,,Linux;Slack,,TensorFlow;Torch/PyTorch
827,C;HTML/CSS;Java;JavaScript;PHP;SQL,MySQL;Oracle;PostgreSQL;SQLite,Android;Windows,Express;jQuery;Laravel,Node.js
831,C;C++;JavaScript,MySQL,Linux;Windows,jQuery;Laravel,.NET Core
832,C;C#;Java;Kotlin;PHP;Python;SQL,Firebase;Microsoft SQL Server;MySQL;SQLite,Android;AWS;Linux;Windows,jQuery,.NET;Node.js;Torch/PyTorch
847,C;Java;Python;SQL,Firebase;Microsoft SQL Server;MySQL;SQLite,Android;Linux;Windows,ASP.NET;Django,Flutter;.NET;.NET Core;Pandas;Unity 3D
853,HTML/CSS;JavaScript;TypeScript,MySQL,Linux;MacOS;Slack;Windows,Angular/Angular.js;Express;jQuery;React.js,Node.js
890,C#;Java;JavaScript;SQL,Firebase,Android;iOS;Windows,Angular/Angular.js;ASP.NET;jQuery,.NET
902,C;C++;C#;HTML/CSS,MongoDB;Microsoft SQL Server;MySQL;SQLite,Android;MacOS;Windows,ASP.NET,.NET;Unity 3D;Xamarin
921,C#,,Windows,,.NET;.NET Core
965,C;HTML/CSS;Java;Python;R;TypeScript;Other(s):,Firebase;MySQL;PostgreSQL;Redis;SQLite,Android;Linux,Angular/Angular.js;jQuery,
985,C#;HTML/CSS;JavaScript;SQL,DynamoDB;Microsoft SQL Server;MySQL;PostgreSQL,AWS;Docker;Linux;Slack;Windows;WordPress,Angular/Angular.js;ASP.NET;jQuery,.NET;.NET Core
989,Bash/Shell/PowerShell;C;C++;HTML/CSS;Python,MySQL;Oracle,Arduino,,
998,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;Swift,Firebase,Arduino;Google Cloud Platform;Linux;Raspberry Pi,Flask,
1002,C;C++;HTML/CSS;Java;JavaScript;Python;SQL,Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,Docker;Linux;Slack,Django;Flask;React.js;Ruby on Rails,Hadoop;Pandas;React Native;TensorFlow
1006,Python,Cassandra;Elasticsearch;MongoDB;MySQL;Redis,Docker;Kubernetes;Raspberry Pi;Windows,Django;Flask,Ansible
1011,C#;HTML/CSS;SQL,Microsoft SQL Server,Microsoft Azure;Windows,ASP.NET;jQuery,.NET;.NET Core
1028,C;C++;HTML/CSS;Java;JavaScript;Python;SQL,Oracle;SQLite,Android,Angular/Angular.js;Django,
1035,HTML/CSS;Java;JavaScript;SQL;TypeScript,MongoDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,AWS,jQuery;Spring,Ansible;Node.js
1044,C++;C#;Java;Python,,Android;Linux;Raspberry Pi;Windows,ASP.NET,Cordova
1079,HTML/CSS;Java;JavaScript,,Windows,Angular/Angular.js;React.js;Spring,
1085,HTML/CSS;JavaScript,,Windows,Express;React.js,Node.js
1120,C;C#;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL;Swift,Firebase;Microsoft SQL Server;MySQL;SQLite,iOS;MacOS;Windows,ASP.NET;Django;jQuery,.NET;Node.js
1155,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;Ruby;SQL;TypeScript,Firebase;MariaDB;MongoDB;Microsoft SQL Server;MySQL;Redis,Android;AWS;Google Cloud Platform;Heroku;IBM Cloud or Watson;iOS;Linux;WordPress,Angular/Angular.js;Express;jQuery;Ruby on Rails,Apache Spark;Chef;Node.js
1163,Swift,,,,
1171,HTML/CSS;JavaScript;PHP,MongoDB,Slack;Windows;WordPress,Express;jQuery;React.js;Vue.js,Node.js
1181,C++;Go;HTML/CSS;JavaScript;Ruby,MySQL;Redis,AWS;Linux,Express;jQuery;Ruby on Rails,Node.js
1191,,Oracle,,,
1220,HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL,Firebase;MySQL;SQLite,Android;Arduino,jQuery;React.js,Cordova;Node.js
1233,JavaScript;PHP,MariaDB;MySQL,Docker;Linux;Windows;WordPress,jQuery,
1235,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python,Firebase;MySQL;Redis,Android;Slack,Express;Laravel;React.js,Node.js
1243,Bash/Shell/PowerShell;Java,Microsoft SQL Server;MySQL;Oracle,AWS;Docker;Linux,,
1261,C;C++;Java;R,MySQL,,,
1264,C;C++;HTML/CSS;Java;Python,Firebase;MongoDB;MySQL,Android;Arduino;Google Cloud Platform;Linux;Raspberry Pi,,Flutter;Pandas;TensorFlow;Torch/PyTorch
1267,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,AWS;Raspberry Pi;Windows,Angular/Angular.js;ASP.NET;jQuery,.NET;.NET Core
1269,HTML/CSS;JavaScript;PHP,Elasticsearch;MongoDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,AWS;Docker;Google Cloud Platform;Linux;WordPress,Angular/Angular.js;jQuery,Cordova;Node.js
1282,C++;C#;HTML/CSS;Java;JavaScript;PHP,MariaDB;MongoDB;Microsoft SQL Server;Oracle,,ASP.NET;jQuery;Laravel;React.js,.NET
1299,HTML/CSS;Java;JavaScript;SQL;TypeScript,MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Docker;Google Cloud Platform;Heroku;Windows,Angular/Angular.js;Express;Flask;jQuery;Spring,Node.js
1303,C;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL,Firebase;MySQL;SQLite,Android;Arduino,jQuery;Laravel;Vue.js,
1350,C++;Dart;Java;Kotlin,MySQL;SQLite,Android;AWS;Google Cloud Platform;Linux;Slack;Windows,,
1359,Assembly;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,Microsoft SQL Server;MySQL;SQLite,,Angular/Angular.js;ASP.NET;jQuery;Vue.js,.NET;.NET Core
